,strategy,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,hit_rate,mrr_mean,mrr_std
0,recursive_cs256_co0,0.42819909167281495,0.30507278714545916,0.0882346013985413,0.08865978149836226,0.080127616827698,0.08391354268245292,0.32503457814661135,0.31175656984785616,0.41972196963888736
1,recursive_cs500_co0,0.44611939864497585,0.29808798571832096,0.04700608373159262,0.050090413601071214,0.04457494605261587,0.048103841722438034,0.35269709543568467,0.36443061318579995,0.43502259054371484
2,recursive_cs256_co25,0.43459554043589954,0.31226732578719163,0.08984791879774048,0.09147042756993498,0.08170136900608872,0.08586751464161482,0.34854771784232363,0.3108114338404795,0.4199253696362419
3,recursive_cs500_co50,0.43905842721812466,0.2936242231067199,0.04663970489384759,0.05172001020367424,0.04435430200006093,0.050320463474064034,0.3333333333333333,0.35477178423236516,0.4253673117978719
4,semantic,0.24044179326161036,0.24749625542090922,0.04937964693838839,0.057547872385048354,0.0371547489398754,0.04130123562937667,0.12586445366528354,0.1343015214384509,0.3004629644306565
