,strategy,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,hit_rate,mrr_mean,mrr_std
0,recursive_cs256_co0,0.3991326814912991,0.2848212033646785,0.08006779195954404,0.08103539106802679,0.07239893001771598,0.07439388450325922,0.2863070539419087,0.27685569386814196,0.40643159345235813
1,recursive_cs500_co0,0.42946704088397064,0.2806547405954298,0.045169720325770546,0.04526192633124879,0.04284148547735753,0.04310599984152267,0.32088520055325037,0.3539880129091747,0.4312864397292836
2,recursive_cs256_co25,0.3967489043198641,0.28851262178039716,0.07976209031861031,0.08162312506338008,0.07203826681431562,0.07442985243709553,0.27247579529737204,0.27549562010142925,0.40678230309634555
3,recursive_cs500_co50,0.4265394370317427,0.27969522407956116,0.04507309838140513,0.04725314158812132,0.0428447182143207,0.04516385966847115,0.31950207468879666,0.3538497003227294,0.42790713108500217
4,semantic,0.3866511948801963,0.2518551642198195,0.031945291428372914,0.034384605000526494,0.028882958564720326,0.03098507814667089,0.2835408022130014,0.302627939142462,0.3877504370737026
