,strategy,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,hit_rate,mrr_mean,mrr_std
0,recursive_cs256_co0,0.2009851146444701,0.15312536825251488,0.05484425120047835,0.0450174729568964,0.04363531563426789,0.03627385176102652,0.0318118948824343,0.03782849239280775,0.1607076791475998
1,recursive_cs500_co0,0.2869292110808848,0.1636928723499954,0.026939834068987263,0.0216765140540244,0.024977436896974337,0.019877646522577144,0.08298755186721991,0.12461964038727526,0.27388258346718075
2,recursive_cs256_co25,0.20906594561321792,0.14666120884913883,0.05110409483113133,0.04347931115184961,0.041426753634758506,0.03322614537302456,0.029045643153526972,0.049538958045182116,0.19810211265322888
3,recursive_cs500_co50,0.27273922802831224,0.16266167956030658,0.02722793419586662,0.022521260951923156,0.02509158048670304,0.020447771668759444,0.06500691562932227,0.10345781466113416,0.2532309125329287
4,semantic,0.1615386927989234,0.1260067664531103,0.059797228630106725,0.04651110995443916,0.04349096446503039,0.03280834658937069,0.017980636237897647,0.02217611802674043,0.12238347184125924
