,strategy,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,hit_rate,mrr_mean,mrr_std
0,recursive_cs256_co0,0.4274015097503173,0.31040909539439104,0.08915725532292836,0.08794168138583114,0.08040679586482401,0.07976364983798631,0.338865836791148,0.31791147994467495,0.4277740206308361
1,recursive_cs500_co0,0.46203429072941354,0.33140564669586947,0.049875371918791996,0.05409353121260011,0.04710601008531941,0.05106706526986212,0.3914246196403873,0.4052789303826648,0.44369655298039845
2,recursive_cs256_co25,0.4353165011054895,0.31265533181114336,0.09046208263680508,0.08825694888147786,0.08166555572721627,0.08007518349192268,0.34854771784232363,0.3267865375749193,0.4306975743706072
3,recursive_cs500_co50,0.460532095629231,0.3295081618400953,0.050708008509794435,0.05455946575326373,0.04790307324725113,0.05230667119103501,0.4024896265560166,0.38842784693407095,0.4368792427002471
4,semantic,0.3107724942554136,0.3061472690350104,0.04170161738400254,0.05551720417073731,0.03035284370349921,0.03350465425856565,0.2392807745504841,0.22858460119870908,0.3700363341737338
