,strategy,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,hit_rate,mrr_mean,mrr_std
0,recursive_cs256_co0,0.4151709876256336,0.31770607251587424,0.08745677821077001,0.09366127193428807,0.07870330975732204,0.08348547809254832,0.3278008298755187,0.3261410788381743,0.4322829064595238
1,recursive_cs500_co0,0.455915006188313,0.321421139707142,0.04772475379065488,0.050633149819819236,0.045405534708856596,0.04876176465427648,0.3789764868603043,0.3866758875057631,0.4380747096957891
2,recursive_cs256_co25,0.42529455415753203,0.31656271044015794,0.08828479315178006,0.09379089687755217,0.0797573684554834,0.0836328004163763,0.334716459197787,0.3280774550484094,0.4329448641703743
3,recursive_cs500_co50,0.44643570720867287,0.3196678533621299,0.04717682980229416,0.051518466458411835,0.04490498975528702,0.050196861905748236,0.359612724757953,0.36839557399723377,0.4331689317874582
4,semantic,0.28608757814669894,0.2905195935859542,0.046259505149805646,0.052141879006996586,0.03537314015061541,0.039636194402779594,0.1825726141078838,0.19432918395573998,0.3469489281805492
